release,total_commits,total_churn,churn_concentration,developer_churn_inequality,refactoring_ratio,file_hotspots,avg_commit_size,churn_volatility,unique_developers,avg_files_per_commit
0.6,0,0,0.0,0.0,0.0,0,0.0,0.0,,
0.7.1,108,36697,0.7752170174370898,0.642857142857143,0.3055555555555556,11,339.787037037037,808.0145021548449,7.0,9.962962962962964
0.7.2,238,180057,0.8973185802087043,0.7137605042016806,0.42857142857142855,24,756.5420168067227,7356.580127134292,16.0,10.802521008403362
0.7,732,423293,0.9043218994441693,0.8117030965391623,0.39617486338797814,74,578.2691256830601,5903.481175561829,36.0,9.443989071038251
0.8.0,929,427015,0.8806996706440395,0.8312447955805593,0.3961248654467169,93,459.6501614639397,4129.903492635566,53.0,8.389666307857912
0.8.1.1,294,46728,0.801277359086076,0.662678864649308,0.3877551020408163,30,158.9387755102041,662.1234889657658,58.0,4.802721088435374
0.8.1,882,192964,0.839360023495036,0.7764518236673201,0.39909297052154197,89,218.78004535147392,1207.4587580703974,118.0,5.776643990929705
0.8.2.1,677,170109,0.8386938419091492,0.689209150065871,0.36484490398818314,68,251.26883308714918,1248.9936799507313,111.0,6.460856720827179
0.8.2.2,1257,297174,0.8358125641126257,0.7530921809931423,0.36992840095465396,126,236.41527446300717,2204.305003744425,179.0,6.105807478122514
0.8.2.0,2540,607311,0.832267564477498,0.7777728451599337,0.37480314960629924,254,239.09881889763778,1776.5290636660748,337.0,6.197244094488189
0.9.0.0,2347,552052,0.8290520176663672,0.7722284033642628,0.37111205794631447,235,235.2160204516404,1782.0041801344066,319.0,6.213037920749893
0.10.1.1,388,114210,0.7986387437863152,0.6284066550984995,0.3427835051546392,39,294.3556701030928,1900.3581835354723,101.0,8.04896907216495
0.10.2.1,654,185216,0.794515328429166,0.7079662094649832,0.3241590214067278,66,283.20489296636083,2387.607287076389,101.0,8.180428134556575
0.9.0.1,2745,643106,0.7991938497341657,0.7927273285442378,0.3610200364298725,275,234.28269581056466,1698.1260979026397,356.0,6.80728597449909
0.10.0.0,3002,752736,0.804122507793767,0.8004447485460144,0.3587608261159227,301,250.744836775483,2030.1900017038045,370.0,6.960692871419054
0.11.0.2,568,159795,0.7768707287373919,0.683039412948278,0.36795774647887325,57,281.3292253521127,1621.4821944030512,119.0,7.52112676056338
0.10.0.1,2296,604352,0.796436810736969,0.7782648703977502,0.35365853658536583,229,263.219512195122,1813.1801794539801,337.0,7.206010452961673
0.10.2.0,2085,560642,0.7893728547258048,0.7785094400049992,0.3462829736211031,209,268.89304556354915,1865.8060567155064,307.0,7.364028776978417
0.10.2.2,1748,484354,0.7775357540798238,0.7537603675798881,0.34725400457665906,175,277.0903890160183,1728.5923902736367,253.0,6.962814645308924
0.11.0.3,729,208854,0.7884031537024643,0.652355381578507,0.35939643347050754,71,286.4938271604938,1629.100967315322,164.0,6.869684499314129
1.0.2,727,217604,0.8043198215746044,0.6542506793706175,0.36176066024759285,73,299.3177441540578,2036.3138183794995,164.0,7.039889958734525
0.10.1.2,2488,704340,0.7871446183866733,0.7764084172073289,0.34766881028938906,249,283.09485530546624,1921.4781457796846,338.0,7.64911575562701
0.9.0.2,3499,890049,0.7937883877535257,0.7875275468732883,0.354101171763361,349,254.372392112032,1758.2695891812427,467.0,7.03972563589597
0.11.0.4,384,80574,0.7508835046044628,0.606983418367347,0.3723958333333333,39,209.828125,1059.25131785093,98.0,7.432291666666667
0.10.0.2,3060,821034,0.7905994172723472,0.7849951328048952,0.35490196078431374,306,268.31176470588235,1818.6888997244969,423.0,7.377777777777778
0.11.0.1,2625,683551,0.7802971516181152,0.7708587345801832,0.3535238095238095,263,260.40038095238094,1660.7163407627213,359.0,6.844190476190477
2.2.1,324,84930,0.7786737952678531,0.5752171925011431,0.345679012345679,33,262.1296296296296,1507.100979516087,81.0,6.055555555555555
0.8.1.2,5383,1359295,0.8035695753231709,0.8032135130735298,0.3589076723016905,537,252.51625487646294,1788.704698245428,663.0,6.783949470555452
0.10.2.3,941,220080,0.7704256031330121,0.683036588913494,0.36238044633368754,94,233.8788522848034,1221.2185237056349,179.0,6.246546227417641
2.4.1,380,103541,0.7758647604127327,0.5587622903412377,0.3263157894736842,38,272.4763157894737,2020.541063437836,91.0,5.7368421052631575
2.3.1,880,252426,0.7734224629648436,0.6755995538204127,0.3375,88,286.8477272727273,1932.6168651257344,163.0,6.721590909090909
2.2.3,1452,399006,0.7830499873452748,0.7307036166502388,0.3106060606060606,145,274.797520661157,2024.671812760379,218.0,6.373278236914601
2.5.1,1048,265080,0.788072418293426,0.6956832890806506,0.3187022900763359,105,252.93893129770993,1757.8550358230516,184.0,6.134541984732825
2.6.1,912,271355,0.7941211333182692,0.6807607468964809,0.3706140350877193,92,297.53837719298247,2014.5982555997134,171.0,7.891447368421052
2.3.0,3222,872762,0.7790370717610673,0.7794188491019913,0.35567970204841715,323,270.8758535071384,1787.003067829086,393.0,6.803538175046555
2.6.3,1169,334808,0.7740669376198943,0.7091152234410023,0.38751069289991447,117,286.4054747647562,1898.0442035925794,158.0,7.757912745936698
2.7.2,1195,339658,0.7733782918387684,0.7110266353709562,0.3882845188284519,120,284.2326359832636,1871.3334997919178,164.0,7.743096234309624
2.8.1,770,206017,0.7648169937306271,0.6562211981566821,0.36623376623376624,77,267.55454545454546,1717.7322166694414,124.0,6.890909090909091
2.0.1,4451,1185296,0.776856287914838,0.7943898704883396,0.3491350258368906,445,266.2988092563469,1685.131398299773,539.0,6.820040440350483
1.1.1,4933,1333871,0.7804228237888271,0.7990170180242537,0.35110480437867425,494,270.39752685992295,1734.2200880937103,579.0,6.89864180012163
2.1.0,4708,1247845,0.7782503494818611,0.7968555107648367,0.35067969413763805,471,265.04779099405266,1715.9039172203056,564.0,6.796304163126593
1.0.0,6081,1615667,0.7795473329830205,0.8058451229459893,0.3507646768623582,607,265.6910047689525,1688.253985676582,706.0,6.804801841802335
1.0.1,5479,1463787,0.7805771034555329,0.8004299243576483,0.3522540609600292,548,267.1631684613981,1701.4148544025495,657.0,6.792662894688812
2.0.0,5195,1384848,0.7799424820146417,0.7994332840314016,0.351106833493744,520,266.57324350336864,1707.9911113442422,626.0,6.802117420596727
2.2.0,4322,1152705,0.7777697693998848,0.792977458780679,0.34983803794539564,433,266.7063859324387,1695.557644780416,527.0,6.76376677464137
2.1.1,4236,1136145,0.7774001953103256,0.7922477137111579,0.3496222851746931,424,268.2117563739377,1704.4696947378143,517.0,6.768885741265344
3.0.1,961,239128,0.7719377282377795,0.65900944933203,0.3298647242455775,96,248.8324661810614,1118.405733706864,198.0,6.132154006243496
3.2.1,396,96043,0.744419850031399,0.6027602760276027,0.32323232323232326,40,242.5328282828283,1111.6715060018275,101.0,6.0
3.1.2,229,39437,0.6849788502429335,0.5379576755122608,0.29694323144104806,23,172.21397379912665,648.3328742023855,78.0,5.3755458515283845
3.2.3,141,23516,0.6853200295799813,0.508901432913591,0.2978723404255319,14,166.78014184397162,572.7039960657115,49.0,5.51063829787234
3.3.1,5,458,0.5336244541484716,0.26666666666666683,0.4,1,91.6,108.89444430272832,3.0,2.8
3.3.2,452,116110,0.7213629050267407,0.5957149510945505,0.3407079646017699,46,256.8805309734513,1018.6830492546294,114.0,7.292035398230088
0.11.0.0,7798,2087959,0.7776854284175063,0.8138050602978879,0.3473967684021544,779,267.7557065914337,1683.1935248507068,887.0,6.9705052577584
0.10.1.0,8563,2237778,0.7814525336590143,0.8136987762428753,0.3498773794230994,857,261.33107555763166,1663.4796245307134,992.0,6.847366577134182
2.1.2,5160,1371432,0.770933231177904,0.7974074353272274,0.3434108527131783,516,265.78139534883724,1605.4843035741887,617.0,6.68953488372093
1.1.2,6017,1592791,0.7729551508295851,0.8028962666043198,0.3468505899950141,602,264.71514043543294,1619.975051290405,708.0,6.782283529998338
1.0.3,6017,1592791,0.7729551508295851,0.8028962666043198,0.3468505899950141,602,264.71514043543294,1619.975051290405,708.0,6.782283529998338
2.3.2,4298,1137554,0.7702397061809709,0.7885233063591688,0.34201954397394135,429,264.67054443927407,1590.6269775395617,533.0,6.677059097254537
2.0.2,5418,1434154,0.7713647196050581,0.7991076198277312,0.3449612403100775,541,264.7017349575489,1587.9685751043125,653.0,6.70062753783684
2.2.2,4806,1291259,0.771432298762937,0.7941297604798125,0.3418643362463587,481,268.6764461090304,1638.8761042346546,582.0,6.759675405742821
3.0.3,585,169439,0.7186831677769419,0.6127364438839851,0.30256410256410254,59,289.63931623931626,1229.4328050831518,122.0,7.18974358974359
3.4.1,1037,295256,0.7346573428758709,0.6667298711711616,0.3201542912246866,104,284.72131147540983,1359.9674192661282,178.0,6.540983606557377
3.2.4,1020,300833,0.7338131546243198,0.663170868347339,0.3127450980392157,102,294.9343137254902,1422.0453914357872,175.0,6.6196078431372545
3.1.3,1020,300833,0.7338131546243198,0.663170868347339,0.3127450980392157,102,294.9343137254902,1422.0453914357872,175.0,6.6196078431372545
3.0.2,1782,478451,0.7466965944751549,0.7114617382257284,0.3254769921436588,179,268.4910213243547,1279.9332754111485,274.0,6.3019079685746355
3.1.1,2067,548152,0.7490252157307047,0.7216841576420676,0.3284954039671021,206,265.19206579583937,1261.0696352469242,312.0,6.2583454281567485
2.7.3,1743,469255,0.745252482797756,0.7112984699269689,0.32759609868043604,175,269.22260470453244,1283.504741037353,266.0,6.2730923694779115
2.8.2,2171,582197,0.7520927927568688,0.7266821332634661,0.3247351450944265,217,268.1699677567941,1259.5946755481386,327.0,6.314601566098572
3.3.3,1710,472948,0.7433856457495642,0.7106811825347294,0.32280701754385965,171,276.5777777777778,1324.6337745400228,253.0,6.391812865497076
3.5.2,1468,455738,0.7438366160307486,0.6882952256841606,0.3215258855585831,147,310.4482288828338,1577.6869632868968,230.0,6.643051771117166
2.7.0,4305,1211065,0.7664651829541973,0.7785595079518188,0.3421602787456446,431,281.31591173054585,1594.666626581578,531.0,6.760046457607433
3.6.1,298,114801,0.7602384786185887,0.4616282462795447,0.3389261744966443,30,385.23825503355704,2192.8615554428616,92.0,6.922818791946309
1.1.0,8078,2187209,0.7699366320942915,0.8072431158838687,0.34389700420896263,808,270.76120326813566,1641.2693819859426,910.0,6.628992324832879
2.5.0,5691,1554837,0.7632533108867148,0.7939953084894564,0.33684765419082763,568,273.2098049551924,1641.4036920959509,652.0,6.537515375153752
3.6.2,2107,620573,0.7418423164039532,0.7084788382917426,0.3241575700047461,211,294.52918841955386,1626.7692883442696,285.0,6.365448504983389
3.6.3,173,51408,0.7118911790792104,0.45068354894944496,0.4161849710982659,18,297.15606936416185,1761.0129951907707,63.0,7.618497109826589
2.4.2,5980,1673303,0.7598160449071714,0.7877863743713427,0.34531772575250835,598,279.8165551839465,1738.8639667401683,667.0,7.092307692307692
2.8.0,5131,1451285,0.7551892104848672,0.7761392885704879,0.3513934905476515,513,282.84642369908397,1716.8450817378066,580.0,7.190606119664783
2.5.2,5497,1560671,0.7592717790022627,0.7814122275034947,0.34746225213752957,550,283.91322539567034,1739.294902389308,617.0,7.174822630525742
2.7.1,5000,1420975,0.7535277486233045,0.7740280575539569,0.3504,500,284.195,1725.1374462839342,556.0,7.254
2.6.2,5147,1456205,0.7551093781913718,0.7761051878884506,0.3514668739071304,515,282.92306197785115,1716.5919558212447,582.0,7.203225179716339
3.7.1,1164,352256,0.7517366070146423,0.6300932744231713,0.3711340206185567,117,302.6254295532646,2457.814550188613,189.0,9.2946735395189
3.6.0,2342,724174,0.7507358075407409,0.6894411956775477,0.3488471391972673,235,309.21178479931683,2157.156637665149,289.0,7.718189581554227
2.4.0,7422,2089149,0.7628371380978027,0.7966990543242265,0.3453247103206683,743,281.4805982215036,1803.4303495505112,787.0,7.057935866343303
2.6.0,6773,1924480,0.7644003179426164,0.7902997194743835,0.3472611841133914,678,284.1399675180865,1911.1566529501129,710.0,7.078399527535804
3.8.1,888,292336,0.785449405435483,0.6434145413018653,0.3963963963963964,89,329.2072072072072,3258.5389880126913,142.0,8.789414414414415
3.5.0,3574,1094670,0.7504264190966241,0.7263810916355278,0.36149972020145493,358,306.2870733072188,2209.422396162299,372.0,7.549804141018467
3.2.0,4661,1348395,0.7528707160765453,0.7546829823969923,0.3559322033898305,465,289.29307015661874,1951.9228306537009,504.0,7.17013516412787
3.3.0,4395,1276122,0.752321798883502,0.7488078761572816,0.3572241183162685,440,290.3576791808874,2002.5273813635529,471.0,7.198179749715586
3.4.0,4838,1386507,0.753785104506628,0.7577377507431249,0.35365853658536583,484,286.5868127325341,1913.424609473319,525.0,7.133526250516742
3.8.0,2073,614931,0.7578951765065844,0.6841736613603473,0.397009165460685,208,296.6382054992764,2591.282483145698,250.0,8.153400868306802
3.7.2,1930,574737,0.7584556445150705,0.681253566455913,0.40103626943005183,193,297.79119170984455,2692.6355549271884,227.0,8.392227979274612
3.9.0,1598,483429,0.7656514726717425,0.6925344825361599,0.3954943679599499,160,302.52127659574467,2958.626414082435,194.0,8.502503128911139
3.0.0,6230,1735157,0.7545010769634344,0.7811813058836368,0.36243980738362763,623,278.5163723916533,1904.8208798518453,603.0,7.0292134831460675
3.4.2,3660,1072897,0.7525128018771872,0.7364612775579424,0.3849726775956284,364,293.1412568306011,2438.0474865400643,348.0,7.418852459016393
3.5.1,3679,1076060,0.7526114449815224,0.736476522543295,0.38461538461538464,368,292.4870888828486,2431.827716360668,348.0,7.395216091329165
3.1.0,6735,1904749,0.7534777152124115,0.786082959115322,0.3664439495174462,674,282.81351150705274,2049.2639757279762,614.0,7.039049740163326
3.9.1,3819,1076450,0.75096505172493,0.7507128548410675,0.40298507462686567,382,281.86698088504846,2515.8944341147453,326.0,7.377585755433359
3.7.3,1470,407171,0.7457568304760622,0.6976057955649793,0.4217687074829932,147,276.987074829932,2437.632212679366,154.0,6.334013605442177
3.8.2,2735,747483,0.7496994228291329,0.7478441359379866,0.4153564899451554,274,273.30274223034735,2505.4920680529963,229.0,6.542595978062157
4.0.1,1259,342543,0.7466436296998984,0.6487771703862906,0.39237490071485304,126,272.07545671167594,1984.8929679572727,153.0,6.4416203335980935
3.7.0,6267,1751001,0.7469488718039459,0.7750073909863833,0.3784905058241583,627,279.4001914791766,2112.586676927473,523.0,6.90856869315462
4.1.0,2351,584088,0.7416916576568486,0.7232822974150181,0.4100382815823054,235,248.44236495108464,2024.977033824385,229.0,6.048915355168013
4.0.0,6196,1795033,0.7552777186535498,0.7719138147305886,0.37992253066494514,618,289.708360232408,2747.8043379444102,509.0,6.9247901872175595
4.1.1,539,151130,0.8138907551976717,0.5697588126159556,0.39332096474953615,54,280.38961038961037,5386.556049492508,110.0,4.786641929499073
3.9.2,3051,829192,0.7628046384543699,0.7445536982410139,0.41494591937069814,305,271.77712225499835,3450.8221429381906,270.0,6.24745984922976
4.0.2,1642,442724,0.7736585921544441,0.673480464238607,0.39585870889159563,165,269.6248477466504,3637.520608876076,193.0,5.779537149817296
4.1.2,259,102858,0.8697361455921802,0.47505197505197505,0.40540540540540543,26,397.13513513513516,7709.327704008874,78.0,4.872586872586872
4.2.0,965,246353,0.7891232701614888,0.6304209844559585,0.40310880829015544,97,255.28808290155442,4035.746673358672,160.0,5.1233160621761655
4.3.0,570,159814,0.8092508418229174,0.5765388046387154,0.38421052631578945,57,280.3754385964912,5104.783461358065,118.0,4.807017543859649
5.0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,,
