release,start_date,end_date
0.6,2011-07-19 21:32:10+00:00,2011-07-19 21:32:27+00:00
0.7.1,2011-11-23 23:46:49+00:00,2012-07-16 18:05:58+00:00
0.7.2,2012-08-24 14:33:33+00:00,2013-02-14 18:02:55+00:00
0.7,2011-07-19 21:32:09+00:00,2013-11-26 03:54:52+00:00
0.8.0,2011-08-10 18:33:46+00:00,2014-06-20 20:24:52+00:00
0.8.1.1,2014-03-19 00:44:11+00:00,2015-02-02 15:57:29+00:00
0.8.1,2012-12-06 05:13:41+00:00,2015-05-13 07:00:49+00:00
0.8.2.1,2014-03-07 02:42:59+00:00,2015-10-12 20:09:56+00:00
0.8.2.2,2015-05-28 17:16:42+00:00,2016-07-15 17:13:26+00:00
0.8.2.0,2013-05-31 05:18:20+00:00,2017-01-26 03:10:54+00:00
0.9.0.0,2014-02-09 23:58:44+00:00,2017-01-26 03:21:53+00:00
0.10.1.1,2016-10-12 23:30:10+00:00,2017-02-08 19:41:16+00:00
0.10.2.1,2017-02-22 20:43:19+00:00,2017-07-10 16:01:33+00:00
0.9.0.1,2015-11-08 19:30:34+00:00,2017-11-06 17:47:08+00:00
0.10.0.0,2015-10-03 03:08:51+00:00,2017-12-12 17:03:00+00:00
0.11.0.2,2017-08-18 17:14:52+00:00,2018-01-29 20:25:11+00:00
0.10.0.1,2016-05-16 13:37:31+00:00,2018-02-09 16:24:00+00:00
0.10.2.0,2016-09-20 06:18:12+00:00,2018-03-16 18:57:34+00:00
0.10.2.2,2017-04-12 12:05:15+00:00,2018-06-17 06:28:36+00:00
0.11.0.3,2017-11-22 17:55:05+00:00,2018-06-17 06:28:36+00:00
1.0.2,2017-12-14 17:52:13+00:00,2018-06-28 04:25:51+00:00
0.10.1.2,2017-01-05 11:09:28+00:00,2018-10-05 03:37:50+00:00
0.9.0.2,2016-02-16 19:41:43+00:00,2018-10-05 03:37:50+00:00
0.11.0.4,2018-07-27 00:59:18+00:00,2018-11-30 19:32:41+00:00
0.10.0.2,2016-08-18 22:29:00+00:00,2018-11-30 19:32:41+00:00
0.11.0.1,2017-04-07 18:54:24+00:00,2019-03-30 00:30:31+00:00
2.2.1,2019-03-07 08:12:23+00:00,2019-05-30 19:05:16+00:00
0.8.1.2,2014-06-10 21:56:46+00:00,2019-06-11 16:46:49+00:00
0.10.2.3,2018-10-05 03:37:50+00:00,2019-07-31 09:26:14+00:00
2.4.1,2019-11-14 21:17:29+00:00,2020-03-09 13:38:51+00:00
2.3.1,2019-06-13 07:04:57+00:00,2020-03-11 20:57:18+00:00
2.2.3,2019-09-11 21:24:54+00:00,2020-10-06 01:20:20+00:00
2.5.1,2020-02-18 18:13:40+00:00,2020-11-05 12:12:30+00:00
2.6.1,2020-07-15 21:24:02+00:00,2021-03-09 18:35:28+00:00
2.3.0,2019-02-02 20:39:40+00:00,2021-06-01 18:33:33+00:00
2.6.3,2020-11-23 09:07:51+00:00,2021-08-27 20:23:23+00:00
2.7.2,2020-11-23 09:07:51+00:00,2021-09-08 08:47:03+00:00
2.8.1,2021-02-26 01:03:10+00:00,2021-09-08 09:18:09+00:00
2.0.1,2018-07-25 05:00:29+00:00,2022-02-13 09:47:04+00:00
1.1.1,2018-03-15 21:44:45+00:00,2022-02-13 09:49:01+00:00
2.1.0,2018-06-07 04:09:50+00:00,2022-03-14 22:51:42+00:00
1.0.0,2017-06-07 18:47:04+00:00,2022-03-14 22:51:42+00:00
1.0.1,2017-10-19 14:44:22+00:00,2022-03-14 22:51:42+00:00
2.0.0,2018-01-31 10:21:53+00:00,2022-03-14 22:51:42+00:00
2.2.0,2018-10-03 07:14:09+00:00,2022-03-14 22:51:42+00:00
2.1.1,2018-10-26 13:50:37+00:00,2022-03-14 22:51:42+00:00
3.0.1,2021-07-21 13:46:11+00:00,2022-08-05 21:20:13+00:00
3.2.1,2022-05-04 17:54:59+00:00,2022-09-16 02:12:48+00:00
3.1.2,2022-07-01 04:09:13+00:00,2022-09-19 16:16:34+00:00
3.2.3,2022-08-03 18:01:09+00:00,2022-09-19 16:16:34+00:00
3.3.1,2022-09-28 20:40:33+00:00,2022-09-29 18:20:44+00:00
3.3.2,2022-09-20 07:23:59+00:00,2023-02-21 07:30:18+00:00
0.11.0.0,2017-01-12 08:38:15+00:00,2023-02-22 22:56:50+00:00
0.10.1.0,2016-04-30 00:28:09+00:00,2023-02-24 19:34:52+00:00
2.1.2,2019-02-05 00:49:57+00:00,2023-04-03 19:33:20+00:00
1.1.2,2018-05-09 00:08:36+00:00,2023-04-03 19:33:20+00:00
1.0.3,2018-05-09 00:08:36+00:00,2023-04-03 19:33:20+00:00
2.3.2,2019-10-15 23:02:38+00:00,2023-04-03 19:33:20+00:00
2.0.2,2018-10-26 13:50:37+00:00,2023-04-03 19:33:20+00:00
2.2.2,2019-05-16 14:09:43+00:00,2023-04-03 19:33:20+00:00
3.0.3,2022-11-15 11:51:05+00:00,2023-04-25 11:54:36+00:00
3.4.1,2022-10-11 16:56:41+00:00,2023-08-02 16:52:39+00:00
3.2.4,2022-11-15 11:51:05+00:00,2023-08-15 23:59:51+00:00
3.1.3,2022-11-15 11:51:05+00:00,2023-08-15 23:59:51+00:00
3.0.2,2022-03-15 20:17:09+00:00,2023-08-31 22:17:19+00:00
3.1.1,2021-11-15 10:47:18+00:00,2023-08-31 22:17:19+00:00
2.7.3,2022-03-25 04:29:14+00:00,2023-08-31 22:17:19+00:00
2.8.2,2021-09-14 23:12:14+00:00,2023-08-31 22:17:19+00:00
3.3.3,2022-04-15 18:29:36+00:00,2023-09-08 02:09:44+00:00
3.5.2,2022-10-11 16:56:41+00:00,2023-11-16 10:15:41+00:00
2.7.0,2020-06-03 16:36:22+00:00,2023-11-22 14:24:11+00:00
3.6.1,2023-09-18 09:10:48+00:00,2023-11-29 21:50:22+00:00
1.1.0,2017-10-05 08:58:38+00:00,2024-02-12 22:05:58+00:00
2.5.0,2019-10-09 16:48:11+00:00,2024-02-12 22:32:27+00:00
3.6.2,2022-10-11 16:56:41+00:00,2024-03-27 19:31:37+00:00
3.6.3,2024-04-22 11:51:20+00:00,2024-05-20 18:15:21+00:00
2.4.2,2020-03-10 23:08:01+00:00,2024-06-25 11:08:17+00:00
2.8.0,2020-10-09 21:26:06+00:00,2024-06-25 11:08:17+00:00
2.5.2,2020-06-11 04:36:34+00:00,2024-06-25 11:08:17+00:00
