release,num_issues,total_commits,total_churn,total_developers,avg_resolution_time,avg_development_duration,release_start,release_end,release_duration_days,issues_per_day,commits_per_day
0.7,64,72,72712,64,20.400667317708333,0.1631761791087963,2011-07-19 21:32:09+00:00,2012-09-18 05:06:08+00:00,426.3152662037037,0.15012364105539505,0.16888909618731943
0.8.0,164,204,86717,173,45.584860758243,1.6453392474028905,2011-07-19 21:32:19+00:00,2013-11-25 02:35:50+00:00,859.2107754629629,0.19087283898602522,0.2374271899582265
0.6,1,2,106,2,0.0,196.54508101851852,2011-07-19 21:32:25+00:00,2011-07-19 21:32:25+00:00,0.0,inf,inf
0.7.1,37,42,5813,37,16.78914226726727,0.2655686936936937,2011-11-09 16:45:25+00:00,2012-06-20 15:05:24+00:00,223.9305439814815,0.16522980448375016,0.18755815644101367
0.9.0.0,372,436,190462,397,52.41273219708283,12.474094982078855,2012-04-06 19:53:57+00:00,2017-01-26 03:21:53+00:00,1755.311064814815,0.21192824876270347,0.24838902274338362
0.8.1,35,38,8448,37,67.47636011904761,0.44444047619047616,2012-04-09 16:54:33+00:00,2014-03-04 20:31:54+00:00,694.1509375,0.0504213105669111,0.05474313718693205
0.8.2.0,78,102,26180,87,90.92645818494778,5.513330514007597,2012-07-16 20:28:37+00:00,2017-01-26 03:10:54+00:00,1654.279363425926,0.04715044007951963,0.0616582677962949
0.7.2,8,18,53489,8,6.047808159722222,2.5210185185185185,2012-07-31 15:59:19+00:00,2012-09-29 01:12:31+00:00,59.384166666666665,0.13471604383884594,0.3031110986374034
0.10.1.0,210,225,60051,216,59.142965621123516,16.455511078042328,2013-01-22 20:32:00+00:00,2016-10-17 21:41:28+00:00,1364.0482407407408,0.15395349939087224,0.16495017791879169
0.10.0.0,380,403,124775,389,40.81184429824562,7.246261634990254,2013-01-22 23:16:57+00:00,2017-12-12 17:03:00+00:00,1784.7403125,0.21291612978008528,0.2258031586878273
3.9.1,61,66,7846,63,167.14989317698846,4.379849916514876,2013-03-14 04:59:25+00:00,2025-06-25 00:02:47+00:00,4485.79400462963,0.013598484446018709,0.014713114318643195
4.1.0,449,525,190554,468,114.55775341808959,7.066304209972779,2013-03-14 04:59:25+00:00,2025-11-28 21:03:11+00:00,4642.669282407407,0.09671160547691991,0.11308149860887072
4.0.1,47,56,7580,49,145.19454713356976,6.619844858156028,2013-03-14 04:59:25+00:00,2025-09-08 20:40:28+00:00,4561.653506944444,0.010303281458894113,0.012276250248895114
3.8.2,27,31,4184,28,189.97935785322358,1.0272235082304528,2013-03-14 04:59:25+00:00,2025-06-25 00:02:47+00:00,4485.79400462963,0.0060190013121722155,0.006910705210271803
1.1.0,203,229,96528,216,89.66953926062762,14.558894761448641,2013-09-06 01:32:28+00:00,2020-05-15 02:26:00+00:00,2443.037175925926,0.08309329141627235,0.09373578194249443
0.8.2.1,2,2,500,2,13.187876157407409,0.0,2014-02-26 00:31:06+00:00,2015-02-22 00:00:12+00:00,360.9785416666667,0.005540495539612523,0.005540495539612523
0.8.1.1,9,12,1370,10,10.7666512345679,3.043244598765432,2014-03-18 16:01:38+00:00,2014-04-18 23:23:25+00:00,31.30679398148148,0.2874775361962537,0.38330338159500493
0.9.0.1,66,67,6214,67,49.550209736251404,0.0006605990460157126,2014-03-25 19:54:14+00:00,2017-11-06 17:47:08+00:00,1321.9117361111112,0.049927690478157975,0.05068417063691794
0.8.1.2,1,2,560,2,61.87232638888889,8.263194444444444,2014-04-10 01:00:37+00:00,2014-06-10 21:56:46+00:00,61.87232638888889,0.016162314533231796,0.03232462906646359
0.11.0.0,381,430,159504,406,51.92971684529017,23.391270809030814,2014-05-13 16:23:17+00:00,2017-12-12 02:56:45+00:00,1308.4399074074074,0.29118647164693096,0.3286356504151714
1.0.0,258,290,119317,271,67.08446970104795,6.818108042635659,2014-08-14 01:43:31+00:00,2019-04-13 23:02:35+00:00,1703.8882407407407,0.15141838169376545,0.1701989561674108
2.4.0,211,251,122563,227,133.68109492934877,15.70813509303142,2014-10-18 13:44:09+00:00,2024-09-03 03:10:50+00:00,3607.5601967592593,0.05848828252111922,0.06957610859147358
2.1.2,83,89,14982,87,92.8831993250781,9.006425005577867,2014-10-18 13:44:09+00:00,2020-10-06 01:20:20+00:00,2179.483460648148,0.0380824179208577,0.04083536379465465
2.0.2,82,91,15018,88,115.01040043473351,10.759181204832881,2014-10-18 13:44:09+00:00,2020-10-06 01:20:20+00:00,2179.483460648148,0.037623593608558215,0.041753012419253624
2.3.2,72,83,14578,81,94.71889580118312,12.995937178497943,2014-10-18 13:44:09+00:00,2021-02-03 23:33:30+00:00,2300.4092708333333,0.03129877840125279,0.036080536212555296
1.1.2,61,68,10520,64,110.45864507437766,9.884114867941712,2014-10-18 13:44:09+00:00,2020-06-05 21:42:37+00:00,2057.3322685185185,0.029650047750393763,0.03305251224634059
1.0.3,34,40,6093,37,152.04142156862744,15.283023897058824,2014-10-18 13:44:09+00:00,2020-06-05 21:42:37+00:00,2057.3322685185185,0.016526256123170296,0.01944265426255329
2.2.3,27,28,3371,28,160.8944199608262,3.381792695473251,2014-10-18 13:44:09+00:00,2020-10-06 01:20:20+00:00,2179.483460648148,0.01238825643208624,0.01284708074438573
0.10.2.0,207,241,84952,221,64.68103481211794,10.619404857756308,2015-03-03 20:06:56+00:00,2017-12-02 17:46:50+00:00,1004.9027083333333,0.20599009066590818,0.23982421183808633
2.0.0,220,258,123439,239,99.18051836069024,10.374386521464647,2015-03-27 15:55:40+00:00,2019-04-13 23:02:35+00:00,1478.2964699074073,0.1488199454428648,0.17452520874663238
0.11.0.1,50,55,12044,52,38.680475925925926,15.72347175925926,2015-04-08 04:42:56+00:00,2017-09-03 22:25:50+00:00,879.738125,0.05683509510287508,0.06251860461316258
0.8.2.2,3,3,80,3,8.46903549382716,0.0,2015-05-12 17:27:55+00:00,2016-07-15 17:13:26+00:00,429.98994212962964,0.00697690737867442,0.00697690737867442
2.2.0,143,161,37466,154,125.41316813973064,16.894394586894588,2015-07-14 21:03:46+00:00,2021-02-01 18:16:58+00:00,2028.8841666666667,0.07048209175733294,0.07935396344706716
2.5.0,179,200,67211,188,113.51296587264639,5.199768971135941,2016-01-04 22:16:15+00:00,2021-10-20 14:21:22+00:00,2115.6702199074075,0.08460675880186751,0.09453269139873463
0.9.0.2,7,7,567,7,10.358007605820106,0.0,2016-01-11 19:01:24+00:00,2018-10-05 03:37:50+00:00,997.3586342592592,0.007018538527215857,0.007018538527215857
2.1.0,175,215,58057,188,89.42710033068782,9.395239748677248,2016-01-13 16:44:03+00:00,2020-04-15 17:23:38+00:00,1554.0274884259259,0.11261062066363926,0.13835019110104252
2.3.0,147,186,77494,152,112.54384125409423,11.207811948853616,2016-01-24 20:19:09+00:00,2020-05-15 16:39:23+00:00,1572.8473842592593,0.09346107033088301,0.11825686450030094
0.10.0.1,49,53,5102,50,25.103403250188965,8.848871173469389,2016-02-01 22:25:51+00:00,2016-08-07 21:28:49+00:00,187.96039351851852,0.26069321883587326,0.28197429792451595
3.9.0,264,387,149460,305,113.52542582947531,11.010749202090349,2016-03-07 22:32:04+00:00,2024-12-17 23:28:25+00:00,3207.0391319444443,0.08231892070488564,0.12067205421511645
2.6.0,263,327,129370,284,106.61924099598647,6.029475029925363,2016-05-17 23:49:53+00:00,2024-09-27 01:24:02+00:00,3054.0653819444447,0.08611472483688437,0.10707039932190565
3.0.0,307,335,112396,317,141.63767707956328,7.429447460489805,2016-05-23 03:56:07+00:00,2025-01-16 18:46:28+00:00,3160.618298611111,0.09713289331233284,0.10599191941248046
2.1.1,40,45,5709,43,95.99975173611111,3.7512054398148145,2016-06-13 16:51:49+00:00,2019-02-12 19:22:58+00:00,974.1049652777778,0.0410633365251285,0.046196253590769565
0.10.1.1,26,30,5788,28,20.723337339743587,24.92370860042735,2016-07-26 19:33:02+00:00,2017-02-08 19:41:16+00:00,197.0057175925926,0.13197586505467798,0.1522798442938592
0.10.0.2,14,15,646,14,23.786927910052913,0.014909060846560847,2016-08-11 23:27:23+00:00,2018-11-30 19:32:41+00:00,840.8370138888889,0.01665007578014401,0.01783936690729715
0.10.2.1,29,30,4039,29,18.693179677522348,0.2440321679438059,2016-09-20 12:59:03+00:00,2017-04-20 23:06:37+00:00,212.4219212962963,0.13652074994439678,0.14122836201144495
1.0.1,49,55,12700,52,42.63500472411187,18.306494472789115,2016-10-06 16:51:33+00:00,2018-03-16 20:31:23+00:00,526.1526620370371,0.09312886455861127,0.1045323989943596
0.10.1.2,9,12,5237,9,60.45005529835391,9.60516975308642,2016-12-12 16:30:22+00:00,2018-10-05 03:37:50+00:00,661.4635185185185,0.013606192553381209,0.018141590071174944
3.3.0,147,178,60653,152,128.72918477576215,6.146220474300832,2017-02-24 16:34:32+00:00,2024-11-12 03:30:10+00:00,2817.4553009259257,0.05217474078530725,0.06317757727744687
0.11.0.3,25,31,7024,26,46.520476388888895,3.821672685185185,2017-03-01 18:32:01+00:00,2018-06-17 06:28:36+00:00,472.4976273148148,0.05291031860217797,0.06560879506670068
0.10.2.2,26,33,9102,27,34.44706241096866,3.7179180021367517,2017-03-01 18:32:01+00:00,2018-06-17 06:28:36+00:00,472.4976273148148,0.05502673134626509,0.06984162055487492
2.2.2,36,38,7835,36,113.21672968106995,0.9230253343621398,2017-03-14 05:36:11+00:00,2019-10-17 22:49:43+00:00,947.7177314814815,0.03798599393484435,0.04009632693122459
2.0.1,52,57,6213,55,40.74915019586895,1.4354685274216525,2017-03-25 15:08:14+00:00,2018-11-21 22:17:09+00:00,606.2978587962963,0.08576642527360621,0.09401319693452989
0.11.0.2,14,15,1694,14,17.280735780423278,0.3930960648148148,2017-04-28 03:56:55+00:00,2017-11-09 23:35:31+00:00,195.81847222222223,0.07149478719307067,0.07660155770686145
2.8.0,189,225,85700,202,106.26222895845581,27.205939030962178,2017-06-21 13:25:11+00:00,2024-06-25 11:08:17+00:00,2560.9049305555554,0.07380203682883256,0.08785956765337209
2.7.0,185,218,79468,192,97.5916006006006,9.936977852852852,2017-07-25 15:00:00+00:00,2022-02-08 02:18:48+00:00,1658.471388888889,0.11154850257859605,0.13144634357910237
3.4.1,48,54,8320,50,136.63993176118828,47.431017071759264,2017-08-20 21:35:15+00:00,2023-05-24 01:34:01+00:00,2102.1658101851854,0.022833593700095214,0.025687792912607116
3.5.0,195,264,113447,206,167.110508665717,23.956512642450146,2017-08-20 21:35:15+00:00,2024-11-12 02:02:15+00:00,2640.1854166666667,0.07385844901991574,0.09999297713465516
3.3.3,41,49,9217,44,126.74037262872629,53.930567976513096,2017-08-20 21:35:15+00:00,2023-09-08 02:09:44+00:00,2209.190613425926,0.018558833154020515,0.022180068891390372
3.8.0,431,572,176825,448,116.22664814814816,7.731982362292687,2017-09-08 20:45:51+00:00,2024-11-13 15:48:10+00:00,2622.793275462963,0.16432862018983252,0.2180880991846501
1.0.2,25,31,7491,26,35.21423935185185,3.821672685185185,2017-09-29 19:27:04+00:00,2018-06-28 04:25:51+00:00,271.3741550925926,0.09212373223776606,0.11423342797482991
2.3.1,44,47,6749,45,75.34157828282828,0.9188583754208755,2017-09-30 09:44:29+00:00,2019-12-04 21:44:52+00:00,795.5002662037037,0.05531110656942624,0.05908231838097803
1.1.1,40,46,8877,41,29.10029513888889,2.306418113425926,2017-10-11 14:43:02+00:00,2018-07-23 17:50:43+00:00,285.13033564814816,0.14028672154112756,0.1613297297722967
4.0.0,820,967,347105,865,91.28860958485959,8.278158437782295,2017-11-10 06:04:39+00:00,2025-03-15 18:57:23+00:00,2682.53662037037,0.3056808223131675,0.36047970143516217
2.4.1,37,40,7026,39,97.90601257507508,2.7430802677677675,2017-11-23 14:37:11+00:00,2020-03-09 13:38:51+00:00,836.9594907407408,0.04420763538657481,0.04779203825575655
4.2.0,334,407,94820,363,150.682866385285,8.502163797405188,2017-12-08 20:11:06+00:00,2026-01-18 16:25:17+00:00,2962.8431828703706,0.11272955718041898,0.13736805321086984
3.2.0,108,128,38595,118,190.48024198388205,15.985920138888888,2018-01-30 12:33:10+00:00,2024-11-12 03:28:42+00:00,2477.6218981481484,0.043590186251067024,0.05166244296422758
2.5.1,64,75,15858,70,60.8533031322338,5.394358000578704,2018-03-13 17:10:33+00:00,2020-07-20 14:07:20+00:00,859.8727662037037,0.0744296162356169,0.08722220652611355
2.2.1,43,47,7797,43,32.90328703703704,1.6450018841515934,2018-04-13 04:57:43+00:00,2019-05-30 19:05:16+00:00,412.5885763888889,0.10422004500548745,0.11391493291297466
0.11.0.4,7,10,620,8,23.9176917989418,7.87020171957672,2018-05-18 00:01:29+00:00,2018-11-30 19:32:41+00:00,196.81333333333333,0.03556669602330465,0.05080956574757808
0.10.2.3,2,2,15,2,4.057673611111111,0.0,2018-10-02 23:48:03+00:00,2018-11-03 18:02:42+00:00,31.76017361111111,0.06297194796505494,0.06297194796505494
2.6.1,38,43,5071,39,65.99747106481482,9.3190347831384,2019-03-03 05:55:07+00:00,2021-03-09 18:35:28+00:00,737.5280208333334,0.051523466128193716,0.05830286956611394
2.5.2,37,46,6364,41,131.14925988488488,50.452895395395394,2019-03-03 05:55:07+00:00,2024-06-25 11:08:17+00:00,1941.2174768518519,0.01906020342450468,0.023696469122357167
3.1.0,97,118,63317,104,109.14819191261574,17.417386407025585,2019-06-11 03:31:51+00:00,2025-05-13 05:54:43+00:00,2163.099212962963,0.04484306564336069,0.054551358205325376
2.7.2,25,28,3378,26,84.96371851851853,6.8572847222222215,2019-06-19 01:35:13+00:00,2021-09-08 08:47:03+00:00,812.2998842592592,0.03077681098378789,0.03447002830184243
2.8.1,44,48,6178,46,64.11467487373737,7.007748053451178,2019-06-19 01:35:13+00:00,2021-09-08 09:18:09+00:00,812.3214814814814,0.054165747186390355,0.05908990602151675
3.1.1,28,35,4186,32,88.52506696428573,5.875552248677248,2019-07-12 07:53:10+00:00,2023-08-31 22:17:19+00:00,1511.6001041666666,0.01852341761741025,0.02315427202176281
3.0.1,25,27,4866,26,117.74127222222224,5.984384722222222,2019-07-12 07:53:10+00:00,2022-03-03 14:19:16+00:00,965.268125,0.025899539570935277,0.027971502736610098
2.4.2,68,77,14800,73,77.62311393654684,1.2495406113834424,2019-07-12 15:57:25+00:00,2024-06-25 11:08:17+00:00,1809.7992129629629,0.03757322884933292,0.04254615619703874
2.6.2,32,40,6428,37,92.69621780960648,98.22398473668981,2019-09-20 16:35:20+00:00,2024-06-25 11:08:17+00:00,1739.7728819444444,0.018393205418994366,0.022991506773742957
3.6.0,215,287,126216,223,119.63210384366924,5.201690999138673,2019-10-04 18:32:39+00:00,2024-02-12 21:39:05+00:00,1592.1294675925926,0.13503926934101315,0.18026172232963153
3.7.1,58,63,8530,60,69.04715397509578,0.43571719348659005,2019-11-23 01:13:46+00:00,2024-06-20 13:31:55+00:00,1671.5126041666667,0.03469911016849073,0.037690412769222685
3.7.0,256,337,189451,270,78.83869812091504,12.051281060112847,2020-04-01 20:41:03+00:00,2025-11-28 10:08:26+00:00,2066.5606828703703,0.1238773204784029,0.16307287891102257
2.7.1,41,51,6819,47,69.8663344060524,82.61844512195121,2020-05-19 08:18:46+00:00,2024-06-25 11:08:17+00:00,1498.1177199074075,0.0273676757541684,0.03404271862103874
3.4.0,125,146,42706,128,116.78181805555556,7.468475462962963,2020-06-11 17:54:13+00:00,2023-06-29 08:06:29+00:00,1112.5918518518517,0.11235027453413751,0.1312251206558726
2.6.3,10,11,1539,10,58.277462962962964,1.4250486111111111,2020-11-02 22:27:55+00:00,2021-07-28 18:27:19+00:00,267.8329166666667,0.03733671023134759,0.04107038125448235
2.8.2,10,14,1477,11,119.31970833333332,4.719434027777778,2021-01-30 00:38:01+00:00,2023-08-31 22:17:19+00:00,943.9022916666667,0.010594316899414244,0.014832043659179943
4.3.0,47,67,19127,49,143.3311752946128,9.90922749211978,2021-04-05 16:56:02+00:00,2026-01-26 14:05:06+00:00,1756.8812962962963,0.026751949661642647,0.03813575802829909
3.0.2,10,16,1204,13,100.91231481481482,4.472539351851852,2021-06-02 08:59:15+00:00,2023-08-31 22:17:19+00:00,820.554212962963,0.012186885207609513,0.019499016332175222
2.7.3,3,6,547,4,277.0088233024691,5.111273148148148,2021-06-02 08:59:15+00:00,2023-08-31 22:17:19+00:00,820.554212962963,0.003656065562282854,0.007312131124565708
2.6.4,2,5,537,3,410.4432349537037,7.666909722222222,2021-06-02 08:59:15+00:00,2023-08-31 22:17:19+00:00,820.554212962963,0.002437377041521903,0.006093442603804756
3.5.2,38,41,3910,39,52.87457602339182,0.17858126218323586,2021-08-12 15:26:51+00:00,2023-11-16 10:15:41+00:00,825.783912037037,0.046016880985561844,0.049649792642316726
3.2.1,14,15,1605,15,42.364023644179895,1.5498131613756614,2021-11-24 03:32:26+00:00,2022-07-20 02:13:32+00:00,237.94520833333334,0.05883707471170271,0.06303972290539576
3.3.2,29,32,3451,29,33.426273946360155,14.41074513090677,2022-01-10 19:17:12+00:00,2023-02-21 07:30:18+00:00,406.50909722222224,0.07133911688118227,0.0787190255240632
5.0.0,1,2,15,1,,35.18832175925926,2022-01-21 16:03:57+00:00,,,,
3.6.1,25,30,8540,25,53.207493981481484,7.776731481481481,2022-06-09 06:56:05+00:00,2023-11-20 04:12:54+00:00,528.8866782407407,0.04726910513828522,0.05672292616594227
3.6.2,27,32,5944,30,37.269983281893005,7.468038837448559,2022-06-14 07:54:04+00:00,2024-03-27 19:31:37+00:00,652.4844097222223,0.041380299050355125,0.049043317393013486
3.1.2,4,4,277,4,4.0471759259259255,0.0,2022-06-30 22:06:00+00:00,2022-08-05 22:48:19+00:00,36.029386574074074,0.11102048578529808,0.11102048578529808
3.2.3,5,6,467,5,7.107518518518518,0.1178425925925926,2022-07-26 12:28:11+00:00,2022-09-13 08:11:32+00:00,48.82177083333333,0.10241332738767071,0.12289599286520486
3.3.1,2,2,70,2,2.906111111111111,0.0,2022-09-23 19:29:48+00:00,2022-09-29 18:20:44+00:00,5.952037037037037,0.3360194144550574,0.3360194144550574
3.1.3,9,11,1229,10,20.956631944444446,0.21815715020576132,2022-10-20 01:21:08+00:00,2023-08-15 23:59:51+00:00,299.94355324074075,0.030005645738204675,0.03667356701336127
3.2.4,12,14,1458,13,16.708255208333334,0.163617862654321,2022-10-20 01:21:08+00:00,2023-08-15 23:59:51+00:00,299.94355324074075,0.04000752765093957,0.04667544892609616
3.0.3,8,9,1127,8,16.364991319444446,0.025622106481481482,2022-10-20 01:21:08+00:00,2023-04-25 11:54:36+00:00,187.43990740740742,0.042680345453925725,0.04801538863566644
2.8.3,2,2,231,2,7.098350694444445,0.0,2023-02-10 07:41:53+00:00,2023-04-21 00:13:13+00:00,69.68842592592593,0.02869917024852684,0.02869917024852684
3.5.1,11,12,547,12,20.041486742424244,2.2079808501683504,2023-02-14 21:34:59+00:00,2023-07-27 10:36:08+00:00,162.54246527777778,0.06767462263600772,0.07382686105746297
3.4.2,22,23,1437,23,31.3602751473064,0.07992897727272728,2023-02-27 22:19:30+00:00,2023-12-21 11:59:03+00:00,296.56913194444445,0.07418169199119888,0.07755358708170793
4.1.1,16,23,4343,18,79.84296296296296,47.874416232638886,2023-08-05 01:19:01+00:00,2025-10-20 17:54:59+00:00,807.6916435185185,0.019809540099114765,0.028476213892477474
3.5.3,1,1,293,1,5.90869212962963,0.0,2023-12-15 14:10:32+00:00,2023-12-21 11:59:03+00:00,5.90869212962963,0.16924219066778187,0.16924219066778187
3.6.3,1,1,48,1,113.80740740740741,0.0,2024-01-01 14:30:23+00:00,2024-04-24 09:53:03+00:00,113.80740740740741,0.008786774277531892,0.008786774277531892
3.7.2,18,21,3568,20,29.7741595936214,0.8635313786008231,2024-01-25 13:48:37+00:00,2024-11-25 21:03:54+00:00,305.3022800925926,0.058957961252503355,0.06878428812792058
3.8.1,12,13,866,13,5.817784529320988,0.08736014660493828,2024-06-13 22:55:49+00:00,2024-10-17 15:52:08+00:00,125.70577546296296,0.09546100770473823,0.10341609168013308
3.9.2,25,30,3004,27,49.40395046296297,6.232666203703704,2024-07-03 18:22:25+00:00,2026-01-14 10:11:19+00:00,559.6589583333333,0.04467006134316174,0.05360407361179409
4.0.2,33,36,4868,34,40.375532407407405,1.0558975168350169,2024-12-05 19:45:31+00:00,2026-01-14 10:11:19+00:00,404.60125,0.08156178459656267,0.08897649228715927
3.7.3,4,5,40,4,4.236313657407408,0.5994415509259259,2024-12-16 19:31:46+00:00,2024-12-28 17:21:37+00:00,11.909618055555555,0.3358629958862614,0.4198287448578268
4.1.2,23,25,2910,24,36.81386322463768,0.9104176731078905,2025-03-19 12:53:13+00:00,2026-01-14 10:11:19+00:00,300.88756944444447,0.07644051245608767,0.08308751353922572
